key,value,check,fuzzy
HITId,3M93N4X8HM23Y385DQGDRY8Q1Z7JSO,FALSE,FALSE
HITTypeId,3GDF5H3EXM3LCWL5N13TJM58U8P52F,FALSE,FALSE
Title,Answer a survey about news articles related to events to human-right defenders,FALSE,FALSE
Description,"Read the news article, answer questions related to the details about the event mentioned in the news article.",FALSE,FALSE
Keywords,"data collection, data extraction, event extraction, news article,",FALSE,FALSE
Reward,$1.00,FALSE,FALSE
CreationTime,Tue Aug 02 06:43:32 PDT 2022,FALSE,FALSE
MaxAssignments,3,FALSE,FALSE
RequesterAnnotation,BatchId:361276;OriginalHitTemplateId:921587259;,FALSE,FALSE
AssignmentDurationInSeconds,3600,FALSE,FALSE
AutoApprovalDelayInSeconds,345600,FALSE,FALSE
Expiration,Sat Aug 06 06:43:32 PDT 2022,FALSE,FALSE
NumberOfSimilarHITs,,FALSE,FALSE
LifetimeInSeconds,,FALSE,FALSE
AssignmentId,31IBVUNM9VE58D17EX0YB7VLZ0HFVJ,FALSE,FALSE
WorkerId,A3EXQVVREKQGG8,FALSE,FALSE
AssignmentStatus,Submitted,FALSE,FALSE
AcceptTime,Tue Aug 02 06:43:48 PDT 2022,FALSE,FALSE
SubmitTime,Tue Aug 02 06:56:16 PDT 2022,FALSE,FALSE
AutoApprovalTime,Sat Aug 06 06:56:16 PDT 2022,FALSE,FALSE
ApprovalTime,,FALSE,FALSE
RejectionTime,,FALSE,FALSE
RequesterFeedback,,FALSE,FALSE
WorkTimeInSeconds,748,FALSE,FALSE
LifetimeApprovalRate,100% (141/141),FALSE,FALSE
Last30DaysApprovalRate,100% (9/9),FALSE,FALSE
Last7DaysApprovalRate,100% (1/1),FALSE,FALSE
Answer.abuse_type_arbitrary_detention_1.abuse_type_arbitrary_detention_1,TRUE,TRUE,FALSE
Answer.abuse_type_arbitrary_detention_2.abuse_type_arbitrary_detention_2,TRUE,TRUE,FALSE
Answer.abuse_type_arbitrary_detention_3.abuse_type_arbitrary_detention_3,TRUE,TRUE,FALSE
Answer.abuse_type_enforced_disappearance_1.abuse_type_enforced_disappearance_1,FALSE,FALSE,FALSE
Answer.abuse_type_enforced_disappearance_2.abuse_type_enforced_disappearance_2,FALSE,FALSE,FALSE
Answer.abuse_type_enforced_disappearance_3.abuse_type_enforced_disappearance_3,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_1.abuse_type_kidnapping_1,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_2.abuse_type_kidnapping_2,FALSE,FALSE,FALSE
Answer.abuse_type_kidnapping_3.abuse_type_kidnapping_3,FALSE,FALSE,FALSE
Answer.abuse_type_killing_1.abuse_type_killing_1,FALSE,FALSE,FALSE
